"region","circle","division","sub_division","block","scheme_id","scheme_name","village_name","population","number_of_esr","water_value_day1","water_value_day2","water_value_day3","water_value_day4","water_value_day5","water_value_day6","lpcd_value_day1","lpcd_value_day2","lpcd_value_day3","lpcd_value_day4","lpcd_value_day5","lpcd_value_day6","lpcd_value_day7","water_date_day1","water_date_day2","water_date_day3","water_date_day4","water_date_day5","water_date_day6","lpcd_date_day1","lpcd_date_day2","lpcd_date_day3","lpcd_date_day4","lpcd_date_day5","lpcd_date_day6","lpcd_date_day7","consistent_zero_lpcd_for_a_week","below_55_lpcd_count","above_55_lpcd_count"
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Achalpur","20003791","105 Villages RRWSS","Waki",872,2,"2.510000","2.540000","0.210000","0.670000","1.710000","0.250000","274.540000","287.620000","291.190000","24.080000","76.830000","195.800000","29.220000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,7,0
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Achalpur","20003791","105 Villages RRWSS","Waigaon",1824,2,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,7,0
"Amravati","Amravati","Amravati","Achalpur","Chandur Bazar","7945938","83 Village RRWS Scheme MJP RR (C 39)","Kandali",3538,9,"9.280000","20.400000","10.690000","20.310000","4.150000","15.980000","597.240000","262.350000","576.630000","302.110000","574.150000","117.230000","451.550000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",0,0,7
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Amravati","20003791","105 Villages RRWSS","Rama",891,2,"15.610000","18.170000","16.400000","16.520000","16.440000","26.470000","1688.100000","1752.080000","2039.280000","1840.630000","1854.100000","1845.120000","2970.610000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,7,0
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Kharwadi",1634,1,"1.800000","1.430000","1.280000","1.640000","0.810000","1.680000","73.000000","109.990000","87.520000","78.340000","100.370000","49.570000","102.710000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,7,0
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Khumagad",608,1,"0.000000","0.000000","0.770000","0.000000","0.000000","1.200000","25.210000","0.000000","0.000000","126.640000","0.000000","0.000000","196.570000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",6,2,1
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Kharala",2392,3,"9.350000","9.530000","8.630000","9.480000","4.820000","20.670000","364.410000","390.790000","398.410000","360.790000","396.320000","201.510000","863.980000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,4,0
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Khanapur",681,2,"0.250000","0.500000","0.270000","0.250000","0.250000","0.550000","73.420000","36.710000","73.420000","39.650000","36.710000","36.710000","80.630000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",6,5,1
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Koltek",100,1,"0.000000","1.230000","0.000000","0.000000","0.470000","0.450000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",7,7,0
"Amravati","Amravati","Amravati W.M","W.M.Amravati - 2","Bhatkuli","20003791","105 Villages RRWSS","Dhamori",737,4,"36.480000","25.230000","22.590000","30.430000","5.820000","30.560000","3921.030000","4949.500000","3423.340000","3065.090000","4128.540000","790.320000","4147.010000","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr","11-Apr","12-Apr","13-Apr","14-Apr","15-Apr","16-Apr","17-Apr",6,3,1
